ground,date,winner,host_country,home_team,away_team,neutral
Port Elizabeth,"Mar 2, 2005",South Africa,South Africa,South Africa,Zimbabwe,False
Napier,"Mar 5, 2005",Australia,New Zealand,New Zealand,Australia,False
Kochi,"Apr 2, 2005",India,India,India,Pakistan,False
Visakhapatnam,"Apr 5, 2005",India,India,India,Pakistan,False
Jamshedpur,"Apr 9, 2005",Pakistan,India,India,Pakistan,False
Ahmedabad,"Apr 12, 2005",Pakistan,India,India,Pakistan,False
Kanpur,"Apr 15, 2005",Pakistan,India,India,Pakistan,False
Delhi,"Apr 17, 2005",Pakistan,India,India,Pakistan,False
Kingston,"May 7, 2005",South Africa,West Indies,West Indies,South Africa,False
Kingston,"May 8, 2005",South Africa,West Indies,West Indies,South Africa,False
Bridgetown,"May 11, 2005",South Africa,West Indies,West Indies,South Africa,False
Port of Spain,"May 14, 2005",South Africa,West Indies,West Indies,South Africa,False
Port of Spain,"May 15, 2005",South Africa,West Indies,West Indies,South Africa,False
Kingstown,"May 18, 2005",Pakistan,West Indies,West Indies,Pakistan,False
Gros Islet,"May 21, 2005",Pakistan,West Indies,West Indies,Pakistan,False
Gros Islet,"May 22, 2005",Pakistan,West Indies,West Indies,Pakistan,False
The Oval,"Jun 16, 2005",England,England,England,Bangladesh,False
Cardiff,"Jun 18, 2005",Bangladesh,England,Australia,Bangladesh,True
Bristol,"Jun 19, 2005",England,England,England,Australia,False
Nottingham,"Jun 21, 2005",England,England,England,Bangladesh,False
Chester,"Jun 23, 2005",Australia,England,England,Australia,False
Manchester,"Jun 25, 2005",Australia,England,Australia,Bangladesh,True
Leeds,"Jun 26, 2005",England,England,England,Bangladesh,False
Canterbury,"Jun 30, 2005",Australia,England,Australia,Bangladesh,True
Leeds,"Jul 7, 2005",England,England,England,Australia,False
Lord's,"Jul 10, 2005",Australia,England,England,Australia,False
The Oval,"Jul 12, 2005",Australia,England,England,Australia,False
Dambulla,"Jul 30, 2005",Sri Lanka,Sri Lanka,Sri Lanka,India,False
Dambulla,"Jul 31, 2005",India,Sri Lanka,India,West Indies,True
Dambulla,"Aug 2, 2005",Sri Lanka,Sri Lanka,Sri Lanka,West Indies,False
Dambulla,"Aug 3, 2005",Sri Lanka,Sri Lanka,Sri Lanka,India,False
Colombo,"Aug 6, 2005",West Indies,Sri Lanka,Sri Lanka,West Indies,False
Colombo,"Aug 7, 2005",India,Sri Lanka,India,West Indies,True
Colombo,"Aug 9, 2005",Sri Lanka,Sri Lanka,Sri Lanka,India,False
Bulawayo,"Aug 24, 2005",New Zealand,Zimbabwe,Zimbabwe,New Zealand,False
Bulawayo,"Aug 26, 2005",New Zealand,Zimbabwe,India,New Zealand,True
Harare,"Aug 29, 2005",India,Zimbabwe,Zimbabwe,India,False
Colombo,"Aug 31, 2005",Sri Lanka,Sri Lanka,Sri Lanka,Bangladesh,False
Harare,"Aug 31, 2005",New Zealand,Zimbabwe,Zimbabwe,New Zealand,False
Colombo,"Sep 2, 2005",Sri Lanka,Sri Lanka,Sri Lanka,Bangladesh,False
Harare,"Sep 2, 2005",India,Zimbabwe,India,New Zealand,True
Colombo,"Sep 4, 2005",Sri Lanka,Sri Lanka,Sri Lanka,Bangladesh,False
Harare,"Sep 4, 2005",India,Zimbabwe,Zimbabwe,India,False
Harare,"Sep 6, 2005",New Zealand,Zimbabwe,India,New Zealand,True
Bloemfontein,"Oct 23, 2005",South Africa,South Africa,South Africa,New Zealand,False
Nagpur,"Oct 25, 2005",India,India,India,Sri Lanka,False
Cape Town,"Oct 28, 2005",South Africa,South Africa,South Africa,New Zealand,False
Port Elizabeth,"Oct 30, 2005",South Africa,South Africa,South Africa,New Zealand,False
Jaipur,"Oct 31, 2005",India,India,India,Sri Lanka,False
Pune,"Nov 3, 2005",India,India,India,Sri Lanka,False
Centurion,"Nov 6, 2005",South Africa,South Africa,South Africa,New Zealand,False
Ahmedabad,"Nov 6, 2005",Sri Lanka,India,India,Sri Lanka,False
Rajkot,"Nov 9, 2005",India,India,India,Sri Lanka,False
Vadodara,"Nov 12, 2005",India,India,India,Sri Lanka,False
Hyderabad,"Nov 16, 2005",South Africa,India,India,South Africa,False
Bengaluru,"Nov 19, 2005",India,India,India,South Africa,False
Kolkata,"Nov 25, 2005",South Africa,India,India,South Africa,False
Mumbai,"Nov 28, 2005",India,India,India,South Africa,False
Auckland,"Dec 3, 2005",Australia,New Zealand,New Zealand,Australia,False
Wellington,"Dec 7, 2005",Australia,New Zealand,New Zealand,Australia,False
Christchurch,"Dec 10, 2005",New Zealand,New Zealand,New Zealand,Australia,False
Lahore,"Dec 10, 2005",England,Pakistan,Pakistan,England,False
Lahore,"Dec 12, 2005",Pakistan,Pakistan,Pakistan,England,False
Karachi,"Dec 15, 2005",Pakistan,Pakistan,Pakistan,England,False
Rawalpindi,"Dec 19, 2005",Pakistan,Pakistan,Pakistan,England,False
Rawalpindi,"Dec 21, 2005",England,Pakistan,Pakistan,England,False
Queenstown,"Dec 31, 2005",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Christchurch,"Jan 3, 2006",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Wellington,"Jan 6, 2006",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Napier,"Jan 8, 2006",Sri Lanka,New Zealand,New Zealand,Sri Lanka,False
Melbourne,"Jan 13, 2006",Australia,Australia,Australia,Sri Lanka,False
Brisbane,"Jan 15, 2006",South Africa,Australia,Australia,South Africa,False
Brisbane,"Jan 17, 2006",Sri Lanka,Australia,South Africa,Sri Lanka,True
Melbourne,"Jan 20, 2006",Australia,Australia,Australia,South Africa,False
Sydney,"Jan 22, 2006",Sri Lanka,Australia,Australia,Sri Lanka,False
Adelaide,"Jan 24, 2006",South Africa,Australia,South Africa,Sri Lanka,True
Adelaide,"Jan 26, 2006",Australia,Australia,Australia,Sri Lanka,False
Perth,"Jan 29, 2006",Australia,Australia,Australia,Sri Lanka,False
Perth,"Jan 31, 2006",South Africa,Australia,South Africa,Sri Lanka,True
Melbourne,"Feb 3, 2006",Australia,Australia,Australia,South Africa,False
Sydney,"Feb 5, 2006",Australia,Australia,Australia,South Africa,False
Peshawar,"Feb 6, 2006",Pakistan,Pakistan,Pakistan,India,False
Hobart,"Feb 7, 2006",Sri Lanka,Australia,South Africa,Sri Lanka,True
Adelaide,"Feb 10, 2006",Sri Lanka,Australia,Australia,Sri Lanka,False
Rawalpindi,"Feb 11, 2006",India,Pakistan,Pakistan,India,False
Sydney,"Feb 12, 2006",Australia,Australia,Australia,Sri Lanka,False
Lahore,"Feb 13, 2006",India,Pakistan,Pakistan,India,False
Brisbane,"Feb 14, 2006",Australia,Australia,Australia,Sri Lanka,False
Multan,"Feb 16, 2006",India,Pakistan,Pakistan,India,False
Wellington,"Feb 18, 2006",New Zealand,New Zealand,New Zealand,West Indies,False
Karachi,"Feb 19, 2006",India,Pakistan,Pakistan,India,False
Bogra,"Feb 20, 2006",Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,False
Queenstown,"Feb 22, 2006",New Zealand,New Zealand,New Zealand,West Indies,False
Bogra,"Feb 22, 2006",Bangladesh,Bangladesh,Bangladesh,Sri Lanka,False
Christchurch,"Feb 25, 2006",New Zealand,New Zealand,New Zealand,West Indies,False
Chittagong,"Feb 25, 2006",Sri Lanka,Bangladesh,Bangladesh,Sri Lanka,False
Bulawayo,"Feb 25, 2006",Zimbabwe,Zimbabwe,Zimbabwe,Kenya,False
Bulawayo,"Feb 26, 2006",Kenya,Zimbabwe,Zimbabwe,Kenya,False
Centurion,"Feb 26, 2006",South Africa,South Africa,South Africa,Australia,False
Napier,"Mar 1, 2006",New Zealand,New Zealand,New Zealand,West Indies,False
Harare,"Mar 1, 2006",Kenya,Zimbabwe,Zimbabwe,Kenya,False
Harare,"Mar 3, 2006",Zimbabwe,Zimbabwe,Zimbabwe,Kenya,False
Cape Town,"Mar 3, 2006",South Africa,South Africa,South Africa,Australia,False
Auckland,"Mar 4, 2006",West Indies,New Zealand,New Zealand,West Indies,False
Port Elizabeth,"Mar 5, 2006",Australia,South Africa,South Africa,Australia,False
Durban,"Mar 10, 2006",Australia,South Africa,South Africa,Australia,False
Johannesburg,"Mar 12, 2006",South Africa,South Africa,South Africa,Australia,False
Bogra,"Mar 17, 2006",Bangladesh,Bangladesh,Bangladesh,Kenya,False
Colombo,"Mar 19, 2006",Pakistan,Sri Lanka,Sri Lanka,Pakistan,False
Khulna,"Mar 20, 2006",Bangladesh,Bangladesh,Bangladesh,Kenya,False
Colombo,"Mar 22, 2006",Pakistan,Sri Lanka,Sri Lanka,Pakistan,False
Fatullah,"Mar 23, 2006",Bangladesh,Bangladesh,Bangladesh,Kenya,False
Fatullah,"Mar 25, 2006",Bangladesh,Bangladesh,Bangladesh,Kenya,False
Delhi,"Mar 28, 2006",India,India,India,England,False
Faridabad,"Mar 31, 2006",India,India,India,England,False
Margao,"Apr 3, 2006",India,India,India,England,False
Kochi,"Apr 6, 2006",India,India,India,England,False
Jamshedpur,"Apr 12, 2006",England,India,India,England,False
Indore,"Apr 15, 2006",India,India,India,England,False
Abu Dhabi,"Apr 18, 2006",Pakistan,U.A.E.,India,Pakistan,True
Abu Dhabi,"Apr 19, 2006",India,U.A.E.,India,Pakistan,True
Chittagong,"Apr 23, 2006",Australia,Bangladesh,Bangladesh,Australia,False
Fatullah,"Apr 26, 2006",Australia,Bangladesh,Bangladesh,Australia,False
Fatullah,"Apr 28, 2006",Australia,Bangladesh,Bangladesh,Australia,False
St John's,"Apr 29, 2006",West Indies,West Indies,West Indies,Zimbabwe,False
St John's,"Apr 30, 2006",West Indies,West Indies,West Indies,Zimbabwe,False
Georgetown,"May 7, 2006",West Indies,West Indies,West Indies,Zimbabwe,False
Gros Islet,"May 10, 2006",West Indies,West Indies,West Indies,Zimbabwe,False
Port of Spain,"May 14, 2006",West Indies,West Indies,West Indies,Zimbabwe,False
Port of Spain,"May 16, 2006",Zimbabwe,West Indies,Canada,Zimbabwe,True
Port of Spain,"May 17, 2006",Bermuda,West Indies,Bermuda,Canada,True
Port of Spain,"May 18, 2006",Zimbabwe,West Indies,Bermuda,Zimbabwe,True
Kingston,"May 18, 2006",India,West Indies,West Indies,India,False
Port of Spain,"May 20, 2006",Zimbabwe,West Indies,Bermuda,Zimbabwe,True
Kingston,"May 20, 2006",West Indies,West Indies,West Indies,India,False
Basseterre,"May 23, 2006",West Indies,West Indies,West Indies,India,False
Port of Spain,"May 26, 2006",West Indies,West Indies,West Indies,India,False
Port of Spain,"May 28, 2006",West Indies,West Indies,West Indies,India,False
Belfast,"Jun 13, 2006",England,Ireland,Ireland,England,False
Lord's,"Jun 17, 2006",Sri Lanka,England,England,Sri Lanka,False
The Oval,"Jun 20, 2006",Sri Lanka,England,England,Sri Lanka,False
Chester,"Jun 24, 2006",Sri Lanka,England,England,Sri Lanka,False
Edinburgh,"Jun 27, 2006",Pakistan,Scotland,Scotland,Pakistan,False
Manchester,"Jun 28, 2006",Sri Lanka,England,England,Sri Lanka,False
Leeds,"Jul 1, 2006",Sri Lanka,England,England,Sri Lanka,False
Amstelveen,"Jul 4, 2006",Sri Lanka,Netherlands,Netherlands,Sri Lanka,False
Amstelveen,"Jul 6, 2006",Sri Lanka,Netherlands,Netherlands,Sri Lanka,False
Harare,"Jul 29, 2006",Zimbabwe,Zimbabwe,Zimbabwe,Bangladesh,False
Harare,"Jul 30, 2006",Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,False
Harare,"Aug 2, 2006",Zimbabwe,Zimbabwe,Zimbabwe,Bangladesh,False
Harare,"Aug 4, 2006",Zimbabwe,Zimbabwe,Zimbabwe,Bangladesh,False
Ayr,"Aug 5, 2006",Ireland,Scotland,Scotland,Ireland,False
Toronto,"Aug 5, 2006",Kenya,Canada,Canada,Kenya,False
Harare,"Aug 6, 2006",Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,False
Ayr,"Aug 6, 2006",Scotland,Scotland,Scotland,Netherlands,False
Toronto,"Aug 6, 2006",Kenya,Canada,Canada,Kenya,False
Nairobi,"Aug 12, 2006",Bangladesh,Kenya,Kenya,Bangladesh,False
Nairobi,"Aug 13, 2006",Bangladesh,Kenya,Kenya,Bangladesh,False
Nairobi,"Aug 15, 2006",Bangladesh,Kenya,Kenya,Bangladesh,False
Toronto,"Aug 19, 2006",Bermuda,Canada,Canada,Bermuda,False
Toronto,"Aug 21, 2006",Bermuda,Canada,Canada,Bermuda,False
Lord's,"Sep 2, 2006",Pakistan,England,England,Pakistan,False
Southampton,"Sep 5, 2006",Pakistan,England,England,Pakistan,False
Nottingham,"Sep 8, 2006",England,England,England,Pakistan,False
Birmingham,"Sep 10, 2006",England,England,England,Pakistan,False
Kuala Lumpur,"Sep 12, 2006",Australia,Malaysia,Australia,West Indies,True
Kuala Lumpur,"Sep 14, 2006",West Indies,Malaysia,India,West Indies,True
Bloemfontein,"Sep 15, 2006",South Africa,South Africa,South Africa,Zimbabwe,False
Kuala Lumpur,"Sep 18, 2006",West Indies,Malaysia,Australia,West Indies,True
East London,"Sep 18, 2006",South Africa,South Africa,South Africa,Zimbabwe,False
Kuala Lumpur,"Sep 20, 2006",India,Malaysia,India,West Indies,True
Potchefstroom,"Sep 20, 2006",South Africa,South Africa,South Africa,Zimbabwe,False
Kuala Lumpur,"Sep 22, 2006",Australia,Malaysia,Australia,India,True
Kuala Lumpur,"Sep 24, 2006",Australia,Malaysia,Australia,West Indies,True
Ahmedabad,"Oct 8, 2006",West Indies,India,West Indies,Zimbabwe,True
Ahmedabad,"Oct 10, 2006",Sri Lanka,India,Sri Lanka,Zimbabwe,True
Jaipur,"Oct 11, 2006",West Indies,India,Bangladesh,West Indies,True
Jaipur,"Oct 13, 2006",Bangladesh,India,Bangladesh,Zimbabwe,True
Mumbai,"Oct 14, 2006",Sri Lanka,India,Sri Lanka,West Indies,True
Jaipur,"Oct 15, 2006",India,India,India,England,False
Mumbai,"Oct 16, 2006",New Zealand,India,New Zealand,South Africa,True
Jaipur,"Oct 17, 2006",Pakistan,India,Pakistan,Sri Lanka,True
Mumbai,"Oct 18, 2006",West Indies,India,Australia,West Indies,True
Mumbai,"Oct 20, 2006",Sri Lanka,India,New Zealand,Sri Lanka,True
Jaipur,"Oct 21, 2006",Australia,India,Australia,England,True
Ahmedabad,"Oct 24, 2006",South Africa,India,South Africa,Sri Lanka,True
Ahmedabad,"Oct 26, 2006",West Indies,India,India,West Indies,False
Ahmedabad,"Oct 28, 2006",England,India,England,West Indies,True
Jaipur,"Nov 2, 2006",West Indies,India,South Africa,West Indies,True
Mumbai,"Nov 5, 2006",Australia,India,Australia,West Indies,True
Mombasa,"Nov 11, 2006",Kenya,Kenya,Kenya,Bermuda,False
Mombasa,"Nov 12, 2006",Kenya,Kenya,Kenya,Bermuda,False
Mombasa,"Nov 14, 2006",Kenya,Kenya,Kenya,Bermuda,False
Durban,"Nov 22, 2006",South Africa,South Africa,South Africa,India,False
Potchefstroom,"Nov 26, 2006",Netherlands,South Africa,Canada,Netherlands,True
Cape Town,"Nov 26, 2006",South Africa,South Africa,South Africa,India,False
Potchefstroom,"Nov 27, 2006",Canada,South Africa,Bermuda,Canada,True
Potchefstroom,"Nov 28, 2006",Netherlands,South Africa,Bermuda,Netherlands,True
Port Elizabeth,"Nov 29, 2006",South Africa,South Africa,South Africa,India,False
Khulna,"Nov 30, 2006",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Benoni,"Nov 30, 2006",Canada,South Africa,Bermuda,Canada,True
Benoni,"Dec 1, 2006",Netherlands,South Africa,Canada,Netherlands,True
Benoni,"Dec 2, 2006",Bermuda,South Africa,Bermuda,Netherlands,True
Bogra,"Dec 3, 2006",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Centurion,"Dec 3, 2006",South Africa,South Africa,South Africa,India,False
Bogra,"Dec 5, 2006",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Faisalabad,"Dec 7, 2006",Pakistan,Pakistan,Pakistan,West Indies,False
Dhaka,"Dec 8, 2006",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Dhaka,"Dec 9, 2006",Bangladesh,Bangladesh,Bangladesh,Zimbabwe,False
Lahore,"Dec 10, 2006",Pakistan,Pakistan,Pakistan,West Indies,False
Multan,"Dec 13, 2006",West Indies,Pakistan,Pakistan,West Indies,False
Chittagong,"Dec 15, 2006",Bangladesh,Bangladesh,Bangladesh,Scotland,False
Karachi,"Dec 16, 2006",Pakistan,Pakistan,Pakistan,West Indies,False
Dhaka,"Dec 17, 2006",Bangladesh,Bangladesh,Bangladesh,Scotland,False
Napier,"Dec 28, 2006",Sri Lanka,New Zealand,New Zealand,Sri Lanka,False
Queenstown,"Dec 31, 2006",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Christchurch,"Jan 2, 2007",New Zealand,New Zealand,New Zealand,Sri Lanka,False
Auckland,"Jan 6, 2007",Sri Lanka,New Zealand,New Zealand,Sri Lanka,False
Melbourne,"Jan 12, 2007",Australia,Australia,Australia,England,False
Hobart,"Jan 14, 2007",Australia,Australia,Australia,New Zealand,False
Hobart,"Jan 16, 2007",England,Australia,England,New Zealand,True
Mombasa,"Jan 17, 2007",Kenya,Kenya,Kenya,Scotland,False
Mombasa,"Jan 18, 2007",Scotland,Kenya,Canada,Scotland,True
Brisbane,"Jan 19, 2007",Australia,Australia,Australia,England,False
Sydney,"Jan 21, 2007",Australia,Australia,Australia,New Zealand,False
Nagpur,"Jan 21, 2007",India,India,India,West Indies,False
Mombasa,"Jan 21, 2007",Kenya,Kenya,Kenya,Scotland,False
Adelaide,"Jan 23, 2007",New Zealand,Australia,England,New Zealand,True
Mombasa,"Jan 23, 2007",Scotland,Kenya,Canada,Scotland,True
Mombasa,"Jan 24, 2007",Canada,Kenya,Kenya,Canada,False
Cuttack,"Jan 24, 2007",India,India,India,West Indies,False
Adelaide,"Jan 26, 2007",Australia,Australia,Australia,England,False
Chennai,"Jan 27, 2007",West Indies,India,India,West Indies,False
Perth,"Jan 28, 2007",Australia,Australia,Australia,New Zealand,False
Nairobi,"Jan 29, 2007",Kenya,Kenya,Kenya,Bermuda,False
Perth,"Jan 30, 2007",New Zealand,Australia,England,New Zealand,True
Nairobi,"Jan 30, 2007",Netherlands,Kenya,Canada,Netherlands,True
Nairobi,"Jan 30, 2007",Scotland,Kenya,Ireland,Scotland,True
Vadodara,"Jan 31, 2007",India,India,India,West Indies,False
Nairobi,"Jan 31, 2007",Ireland,Kenya,Bermuda,Ireland,True
Nairobi,"Jan 31, 2007",Scotland,Kenya,Canada,Scotland,True
Nairobi,"Jan 31, 2007",Kenya,Kenya,Kenya,Netherlands,False
Sydney,"Feb 2, 2007",England,Australia,Australia,England,False
Nairobi,"Feb 2, 2007",Canada,Kenya,Bermuda,Canada,True
Nairobi,"Feb 2, 2007",Kenya,Kenya,Kenya,Ireland,False
Nairobi,"Feb 2, 2007",Scotland,Kenya,Netherlands,Scotland,True
Melbourne,"Feb 4, 2007",Australia,Australia,Australia,New Zealand,False
Nairobi,"Feb 4, 2007",Netherlands,Kenya,Bermuda,Netherlands,True
Nairobi,"Feb 4, 2007",Canada,Kenya,Canada,Ireland,True
Nairobi,"Feb 4, 2007",Scotland,Kenya,Kenya,Scotland,False
Harare,"Feb 4, 2007",Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,False
Centurion,"Feb 4, 2007",South Africa,South Africa,South Africa,Pakistan,False
Nairobi,"Feb 5, 2007",Bermuda,Kenya,Bermuda,Scotland,True
Nairobi,"Feb 5, 2007",Kenya,Kenya,Kenya,Canada,False
Nairobi,"Feb 5, 2007",Netherlands,Kenya,Ireland,Netherlands,True
Brisbane,"Feb 6, 2007",England,Australia,England,New Zealand,True
Harare,"Feb 6, 2007",Zimbabwe,Zimbabwe,Zimbabwe,Bangladesh,False
Nairobi,"Feb 7, 2007",Kenya,Kenya,Kenya,Scotland,False
Durban,"Feb 7, 2007",Pakistan,South Africa,South Africa,Pakistan,False
Melbourne,"Feb 9, 2007",England,Australia,Australia,England,False
Harare,"Feb 9, 2007",Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,False
Harare,"Feb 10, 2007",Bangladesh,Zimbabwe,Zimbabwe,Bangladesh,False
Sydney,"Feb 11, 2007",England,Australia,Australia,England,False
Rajkot,"Feb 11, 2007",Sri Lanka,India,India,Sri Lanka,False
Cape Town,"Feb 11, 2007",South Africa,South Africa,South Africa,Pakistan,False
Margao,"Feb 14, 2007",India,India,India,Sri Lanka,False
Johannesburg,"Feb 14, 2007",South Africa,South Africa,South Africa,Pakistan,False
Wellington,"Feb 16, 2007",New Zealand,New Zealand,New Zealand,Australia,False
Visakhapatnam,"Feb 17, 2007",India,India,India,Sri Lanka,False
Auckland,"Feb 18, 2007",New Zealand,New Zealand,New Zealand,Australia,False
Hamilton,"Feb 20, 2007",New Zealand,New Zealand,New Zealand,Australia,False
St John's,"Feb 25, 2007",Bangladesh,West Indies,Bangladesh,Bermuda,True
St John's,"Feb 26, 2007",Canada,West Indies,Bermuda,Canada,True
St John's,"Feb 28, 2007",Bangladesh,West Indies,Bangladesh,Canada,True
Kingston,"Mar 13, 2007",West Indies,West Indies,West Indies,Pakistan,False
Basseterre,"Mar 14, 2007",Australia,West Indies,Australia,Scotland,True
Gros Islet,"Mar 14, 2007",Kenya,West Indies,Canada,Kenya,True
Port of Spain,"Mar 15, 2007",Sri Lanka,West Indies,Bermuda,Sri Lanka,True
Gros Islet,"Mar 16, 2007",New Zealand,West Indies,England,New Zealand,True
Basseterre,"Mar 16, 2007",South Africa,West Indies,Netherlands,South Africa,True
Port of Spain,"Mar 17, 2007",Bangladesh,West Indies,Bangladesh,India,True
Kingston,"Mar 17, 2007",Ireland,West Indies,Ireland,Pakistan,True
Basseterre,"Mar 18, 2007",Australia,West Indies,Australia,Netherlands,True
Gros Islet,"Mar 18, 2007",England,West Indies,Canada,England,True
Port of Spain,"Mar 19, 2007",India,West Indies,Bermuda,India,True
Kingston,"Mar 19, 2007",West Indies,West Indies,West Indies,Zimbabwe,False
Gros Islet,"Mar 20, 2007",New Zealand,West Indies,Kenya,New Zealand,True
Basseterre,"Mar 20, 2007",South Africa,West Indies,Scotland,South Africa,True
Port of Spain,"Mar 21, 2007",Sri Lanka,West Indies,Bangladesh,Sri Lanka,True
Kingston,"Mar 21, 2007",Pakistan,West Indies,Pakistan,Zimbabwe,True
Gros Islet,"Mar 22, 2007",New Zealand,West Indies,Canada,New Zealand,True
Basseterre,"Mar 22, 2007",Netherlands,West Indies,Netherlands,Scotland,True
Port of Spain,"Mar 23, 2007",Sri Lanka,West Indies,India,Sri Lanka,True
Kingston,"Mar 23, 2007",West Indies,West Indies,West Indies,Ireland,False
Basseterre,"Mar 24, 2007",Australia,West Indies,Australia,South Africa,True
Gros Islet,"Mar 24, 2007",England,West Indies,England,Kenya,True
Port of Spain,"Mar 25, 2007",Bangladesh,West Indies,Bangladesh,Bermuda,True
North Sound,"Mar 27-28, 2007",Australia,West Indies,West Indies,Australia,False
Providence,"Mar 28, 2007",South Africa,West Indies,South Africa,Sri Lanka,True
North Sound,"Mar 29, 2007",New Zealand,West Indies,West Indies,New Zealand,False
Providence,"Mar 30, 2007",England,West Indies,England,Ireland,True
North Sound,"Mar 31, 2007",Australia,West Indies,Australia,Bangladesh,True
Providence,"Apr 1, 2007",Sri Lanka,West Indies,West Indies,Sri Lanka,False
North Sound,"Apr 2, 2007",New Zealand,West Indies,Bangladesh,New Zealand,True
Providence,"Apr 3, 2007",South Africa,West Indies,Ireland,South Africa,True
North Sound,"Apr 4, 2007",Sri Lanka,West Indies,England,Sri Lanka,True
Providence,"Apr 7, 2007",Bangladesh,West Indies,Bangladesh,South Africa,True
North Sound,"Apr 8, 2007",Australia,West Indies,Australia,England,True
Providence,"Apr 9, 2007",New Zealand,West Indies,Ireland,New Zealand,True
St George's,"Apr 10, 2007",South Africa,West Indies,West Indies,South Africa,False
Bridgetown,"Apr 11, 2007",England,West Indies,Bangladesh,England,True
St George's,"Apr 12, 2007",Sri Lanka,West Indies,New Zealand,Sri Lanka,True
Bridgetown,"Apr 13, 2007",Australia,West Indies,Australia,Ireland,True
St George's,"Apr 14, 2007",New Zealand,West Indies,New Zealand,South Africa,True
Bridgetown,"Apr 15, 2007",Ireland,West Indies,Bangladesh,Ireland,True
St George's,"Apr 16, 2007",Australia,West Indies,Australia,Sri Lanka,True
Bridgetown,"Apr 17, 2007",South Africa,West Indies,England,South Africa,True
St George's,"Apr 18, 2007",Sri Lanka,West Indies,Ireland,Sri Lanka,True
Bridgetown,"Apr 19, 2007",West Indies,West Indies,West Indies,Bangladesh,False
St George's,"Apr 20, 2007",Australia,West Indies,Australia,New Zealand,True
Bridgetown,"Apr 21, 2007",England,West Indies,West Indies,England,False
Kingston,"Apr 24, 2007",Sri Lanka,West Indies,New Zealand,Sri Lanka,True
Gros Islet,"Apr 25, 2007",Australia,West Indies,Australia,South Africa,True
Bridgetown,"Apr 28, 2007",Australia,West Indies,Australia,Sri Lanka,True
Dhaka,"May 10, 2007",India,Bangladesh,Bangladesh,India,False
Dhaka,"May 12, 2007",India,Bangladesh,Bangladesh,India,False
Abu Dhabi,"May 18, 2007",Pakistan,U.A.E.,Pakistan,Sri Lanka,True
Abu Dhabi,"May 20, 2007",Pakistan,U.A.E.,Pakistan,Sri Lanka,True
Abu Dhabi,"May 22, 2007",Sri Lanka,U.A.E.,Pakistan,Sri Lanka,True
Belfast,"Jun 23, 2007",India,Ireland,Ireland,India,False
Belfast,"Jun 24, 2007",South Africa,Ireland,Ireland,South Africa,False
Belfast,"Jun 26, 2007",South Africa,Ireland,India,South Africa,True
Belfast,"Jun 29, 2007",India,Ireland,India,South Africa,True
Lord's,"Jul 1, 2007",England,England,England,West Indies,False
Belfast,"Jul 1, 2007",India,Ireland,India,South Africa,True
Toronto,"Jul 3, 2007",Netherlands,Canada,Canada,Netherlands,False
Birmingham,"Jul 4, 2007",West Indies,England,England,West Indies,False
Nottingham,"Jul 7, 2007",West Indies,England,England,West Indies,False
Dublin,"Jul 10, 2007",West Indies,Ireland,Netherlands,West Indies,True
Belfast,"Jul 11, 2007",Ireland,Ireland,Ireland,Netherlands,False
Dublin,"Jul 12, 2007",West Indies,Ireland,Scotland,West Indies,True
Belfast,"Jul 15, 2007",Ireland,Ireland,Ireland,Scotland,False
Colombo,"Jul 20, 2007",Sri Lanka,Sri Lanka,Sri Lanka,Bangladesh,False
Colombo,"Jul 23, 2007",Sri Lanka,Sri Lanka,Sri Lanka,Bangladesh,False
Colombo,"Jul 25, 2007",Sri Lanka,Sri Lanka,Sri Lanka,Bangladesh,False
Glasgow,"Aug 16, 2007",India,Scotland,Scotland,India,False
Rotterdam,"Aug 18, 2007",Netherlands,Netherlands,Netherlands,Bermuda,False
Rotterdam,"Aug 20, 2007",Netherlands,Netherlands,Netherlands,Bermuda,False
Southampton,"Aug 21, 2007",England,England,England,India,False
Bulawayo,"Aug 22, 2007",South Africa,Zimbabwe,Zimbabwe,South Africa,False
Bristol,"Aug 24, 2007",India,England,England,India,False
Harare,"Aug 25, 2007",South Africa,Zimbabwe,Zimbabwe,South Africa,False
Harare,"Aug 26, 2007",South Africa,Zimbabwe,Zimbabwe,South Africa,False
Birmingham,"Aug 27, 2007",England,England,England,India,False
Manchester,"Aug 30, 2007",England,England,England,India,False
Leeds,"Sep 2, 2007",India,England,England,India,False
The Oval,"Sep 5, 2007",India,England,England,India,False
Lord's,"Sep 8, 2007",England,England,England,India,False
Dambulla,"Oct 1, 2007",Sri Lanka,Sri Lanka,Sri Lanka,England,False
Kochi,"Oct 2, 2007",Australia,India,India,Australia,False
