"Agency","Agency.Type","Distribution.Channel","Product.Name","Claim","Duration","Destination","Net.Sales","Commision..in.value.","Gender","Age"
"EPX","Travel Agency","Online","Cancellation Plan","No",58,"NEPAL",29,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",11,"THAILAND",22,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",9,"CHINA",29,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",19,"THAILAND",10,0,"",51
"EPX","Travel Agency","Online","Cancellation Plan","No",11,"AUSTRALIA",80,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",5,"INDONESIA",20,0,"",60
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",5,"UNITED STATES",22,0,"",43
"KML","Travel Agency","Online","Value Plan","No",16,"NETHERLANDS",75,28.5,"F",48
"SSI","Airlines","Online","Ticket Protector","No",14,"SINGAPORE",21.35,5.98,"",48
"JZI","Airlines","Online","Basic Plan","No",13,"INDONESIA",22,7.7,"F",26
"JZI","Airlines","Online","Basic Plan","No",12,"HONG KONG",22,7.7,"M",37
"JZI","Airlines","Online","Basic Plan","No",13,"MALAYSIA",33,11.55,"M",45
"JZI","Airlines","Online","Value Plan","No",36,"CHINA",45,15.75,"M",62
"ADM","Travel Agency","Online","Premier Plan","No",79,"FRANCE",0,32.68,"M",22
"C2B","Airlines","Online","Bronze Plan","No",13,"SINGAPORE",25.5,6.38,"M",62
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",7,"THAILAND",0,17.82,"",32
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",77,"MALAYSIA",0,17.82,"",59
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",30,"UNITED ARAB EMIRATES",0,11.88,"",31
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",58,"FINLAND",29.7,17.82,"",31
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",48,"AUSTRALIA",69.3,41.58,"",30
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",33,"THAILAND",33,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",15,"UNITED STATES",81,0,"",24
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",8,"THAILAND",20,0,"",28
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",32,"INDONESIA",91,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",11,"HONG KONG",21,0,"",38
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",295,"CAMBODIA",31,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",9,"THAILAND",23,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",36,"THAILAND",20,0,"",54
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",29,"THAILAND",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",14,"INDONESIA",20,0,"",29
"EPX","Travel Agency","Online","Cancellation Plan","No",45,"MALAYSIA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",6,"INDONESIA",11,0,"",75
"EPX","Travel Agency","Online","Cancellation Plan","No",76,"UNITED STATES",25,0,"",62
"EPX","Travel Agency","Online","Cancellation Plan","No",18,"TAIWAN, PROVINCE OF CHINA",18,0,"",22
"EPX","Travel Agency","Online","Cancellation Plan","No",55,"JAPAN",47,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",12,"UNITED STATES",10,0,"",41
"EPX","Travel Agency","Online","Cancellation Plan","No",1,"SINGAPORE",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",2,"INDONESIA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",99,"THAILAND",20,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",61,"PHILIPPINES",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",35,"INDONESIA",10,0,"",26
"EPX","Travel Agency","Online","Cancellation Plan","No",76,"CHINA",19,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",5,"INDONESIA",10,0,"",44
"EPX","Travel Agency","Online","Cancellation Plan","No",31,"AUSTRALIA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",29,"INDONESIA",12,0,"",29
"EPX","Travel Agency","Online","Cancellation Plan","No",13,"VIET NAM",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",49,"VIET NAM",19,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",7,"HONG KONG",15,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",78,"INDONESIA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",63,"INDONESIA",19,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",4,"THAILAND",27,0,"",29
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",3,"INDONESIA",20,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",76,"UNITED STATES",20,0,"",25
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",4,"SINGAPORE",55,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",7,"PHILIPPINES",20,0,"",36
"JWT","Airlines","Online","Value Plan","No",4,"INDIA",78,31.2,"F",118
"SSI","Airlines","Online","Ticket Protector","No",13,"SINGAPORE",8.41,2.36,"",48
"SSI","Airlines","Online","Ticket Protector","No",48,"SINGAPORE",7.92,2.22,"",48
"JZI","Airlines","Online","Basic Plan","No",38,"FINLAND",69,24.15,"F",46
"JZI","Airlines","Online","Basic Plan","No",8,"CHINA",26,9.1,"M",38
"JZI","Airlines","Online","Basic Plan","No",5,"THAILAND",18,6.3,"M",31
"JZI","Airlines","Online","Basic Plan","No",3,"HONG KONG",22,7.7,"F",60
"JZI","Airlines","Online","Value Plan","No",11,"NEPAL",0,23.45,"M",62
"C2B","Airlines","Online","Bronze Plan","No",8,"SINGAPORE",23.4,5.85,"F",33
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",6,"UNITED STATES",39.6,23.76,"",46
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",23,"AUSTRALIA",49.5,29.7,"",52
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","Yes",35,"AUSTRALIA",158.4,95.04,"",52
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",42,"MALAYSIA",29.7,17.82,"",27
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",108,"NEW ZEALAND",39.6,23.76,"",53
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",116,"NEW ZEALAND",79.2,47.52,"",53
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",124,"MALAYSIA",39.6,23.76,"",36
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",15,"IRELAND",99,59.4,"",53
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",35,"HONG KONG",41,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",34,"JAPAN",46,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",16,"HONG KONG",21,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",17,"MYANMAR",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",34,"THAILAND",24,0,"",49
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",21,"VIET NAM",24,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",64,"JAPAN",48,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",20,"THAILAND",31,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",13,"KOREA, REPUBLIC OF",112,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",21,"SINGAPORE",32,0,"",28
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",29,"INDONESIA",26,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",137,"KOREA, REPUBLIC OF",49,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",12,"VIET NAM",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",27,"CHINA",40,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",7,"CHINA",0,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",4,"MALAYSIA",20,0,"",41
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",7,"INDONESIA",41,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",10,"INDONESIA",21,0,"",64
"EPX","Travel Agency","Online","Cancellation Plan","No",6,"HONG KONG",29,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",1,"VIET NAM",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",9,"INDONESIA",26,0,"",29
"EPX","Travel Agency","Online","Cancellation Plan","Yes",14,"CHINA",31,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",4,"MALAYSIA",11,0,"",52
"EPX","Travel Agency","Online","Cancellation Plan","No",29,"UNITED STATES",0,0,"",28
"EPX","Travel Agency","Online","Cancellation Plan","No",15,"SINGAPORE",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",14,"INDIA",13,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",31,"THAILAND",10,0,"",41
"EPX","Travel Agency","Online","Cancellation Plan","No",177,"INDIA",14,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",19,"MALAYSIA",10,0,"",25
"EPX","Travel Agency","Online","Cancellation Plan","No",6,"CHINA",34,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",18,"CHINA",31,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",10,"INDONESIA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",64,"PHILIPPINES",11,0,"",31
"EPX","Travel Agency","Online","Cancellation Plan","No",237,"KOREA, REPUBLIC OF",10,0,"",26
"EPX","Travel Agency","Online","Cancellation Plan","No",17,"INDIA",24,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",4,"THAILAND",14,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",15,"NEW ZEALAND",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",26,"CAMBODIA",11,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",9,"MALAYSIA",23,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",9,"INDIA",34,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",9,"UNITED ARAB EMIRATES",49,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",12,"CHINA",22,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",3,"KOREA, REPUBLIC OF",44,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",76,"PHILIPPINES",20,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",2,"INDONESIA",21,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",6,"PHILIPPINES",20,0,"",36
"KML","Travel Agency","Online","Premier Plan","No",34,"INDONESIA",29,11.02,"M",48
"SSI","Airlines","Online","Ticket Protector","No",25,"SINGAPORE",9.12,2.56,"",48
"JZI","Airlines","Online","Basic Plan","No",3,"THAILAND",18,6.3,"F",48
"JZI","Airlines","Online","Basic Plan","No",22,"MALAYSIA",30,10.5,"M",42
"JZI","Airlines","Online","Basic Plan","No",20,"MYANMAR",18,6.3,"F",32
"JZI","Airlines","Online","Basic Plan","No",6,"CHINA",26,9.1,"F",34
"JZI","Airlines","Online","Basic Plan","No",9,"HONG KONG",26,9.1,"F",30
"JZI","Airlines","Online","Value Plan","No",92,"JAPAN",58,20.3,"M",56
"ART","Airlines","Online","24 Protect","No",13,"PHILIPPINES",2.57,0.9,"M",48
"C2B","Airlines","Online","Bronze Plan","No",25,"SINGAPORE",30.55,7.64,"M",32
"C2B","Airlines","Online","Bronze Plan","No",5,"SINGAPORE",14.95,3.74,"F",66
"C2B","Airlines","Online","Bronze Plan","No",11,"SINGAPORE",22.1,5.53,"M",22
"C2B","Airlines","Online","Silver Plan","No",8,"SINGAPORE",37.5,9.38,"M",28
"C2B","Airlines","Online","Silver Plan","No",14,"SINGAPORE",54.6,13.65,"M",39
"C2B","Airlines","Online","Gold Plan","Yes",33,"SINGAPORE",68.6,17.15,"M",72
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",39,"AUSTRALIA",69.3,41.58,"",61
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",12,"THAILAND",39.6,23.76,"",27
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","Yes",118,"SOUTH AFRICA",69.3,41.58,"",50
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","Yes",111,"SOUTH AFRICA",59.4,35.64,"",50
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",18,"UNITED STATES",69.3,41.58,"",35
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",211,"SWITZERLAND",0,5.94,"",31
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",83,"NETHERLANDS",29.7,17.82,"",43
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",5,"AUSTRALIA",0,29.7,"",34
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",41,"SINGAPORE",84,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",7,"VIET NAM",39,0,"",41
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",25,"PHILIPPINES",42,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","Yes",125,"VIET NAM",26,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",17,"CANADA",112,0,"",31
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",36,"HONG KONG",28,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",55,"HONG KONG",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",29,"UNITED STATES",112,0,"",35
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",5,"MALAYSIA",20,0,"",57
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",24,"ITALY",112,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",34,"PHILIPPINES",30,0,"",60
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",6,"VIET NAM",23,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",46,"UNITED STATES",112,0,"",33
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",27,"SRI LANKA",35,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",152,"INDONESIA",24,0,"",40
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",16,"CHINA",38,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",82,"HONG KONG",42,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",19,"INDONESIA",20,0,"",27
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",8,"INDONESIA",26,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",7,"INDONESIA",32,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",15,"KOREA, REPUBLIC OF",36,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",4,"SINGAPORE",11,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",40,"INDONESIA",17,0,"",23
"EPX","Travel Agency","Online","Cancellation Plan","No",8,"HONG KONG",49,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",167,"SINGAPORE",20,0,"",26
"EPX","Travel Agency","Online","Cancellation Plan","No",11,"MALAYSIA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",3,"INDONESIA",20,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",43,"UNITED STATES",80,0,"",54
"EPX","Travel Agency","Online","Cancellation Plan","No",12,"SINGAPORE",12,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",32,"NEPAL",32,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",5,"THAILAND",14,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",237,"KOREA, REPUBLIC OF",56,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",33,"LUXEMBOURG",34,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",81,"THAILAND",10,0,"",37
"EPX","Travel Agency","Online","Cancellation Plan","No",6,"MALAYSIA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",11,"PHILIPPINES",25,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",40,"UNITED STATES",15,0,"",26
"EPX","Travel Agency","Online","Cancellation Plan","No",9,"THAILAND",40,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",8,"SINGAPORE",10,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",21,"INDIA",0,0,"",36
"JWT","Airlines","Online","Value Plan","No",16,"INDIA",72,28.8,"F",118
"SSI","Airlines","Online","Ticket Protector","No",11,"SINGAPORE",1.13,0.32,"",48
"JZI","Airlines","Online","Basic Plan","No",5,"TAIWAN, PROVINCE OF CHINA",26,9.1,"F",29
"JZI","Airlines","Online","Basic Plan","No",61,"HONG KONG",26,9.1,"M",42
"JZI","Airlines","Online","Basic Plan","No",7,"THAILAND",22,7.7,"M",47
"JZI","Airlines","Online","Basic Plan","No",5,"INDIA",26,9.1,"M",54
"JZI","Airlines","Online","Basic Plan","No",3,"THAILAND",18,6.3,"M",40
"JZI","Airlines","Online","Basic Plan","No",11,"INDONESIA",30,10.5,"F",34
"JZI","Airlines","Online","Basic Plan","No",111,"THAILAND",22,7.7,"F",50
"JZI","Airlines","Online","Value Plan","No",7,"AUSTRALIA",36,12.6,"M",49
"C2B","Airlines","Online","Silver Plan","No",47,"SINGAPORE",31.85,7.96,"F",37
"C2B","Airlines","Online","Annual Silver Plan","No",364,"SINGAPORE",252.85,63.21,"M",36
"C2B","Airlines","Online","Annual Silver Plan","Yes",368,"SINGAPORE",187.85,46.96,"F",37
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",24,"SWITZERLAND",49.5,29.7,"",35
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",12,"MALAYSIA",29.7,17.82,"",31
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",14,"TAIWAN, PROVINCE OF CHINA",50,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",18,"UNITED KINGDOM",112,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",45,"THAILAND",21,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",63,"UNITED ARAB EMIRATES",90,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",70,"THAILAND",25,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",5,"AUSTRALIA",24,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",4,"THAILAND",32,0,"",40
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",117,"THAILAND",23,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",8,"PHILIPPINES",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",5,"HONG KONG",21,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",11,"HONG KONG",29,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",9,"MALAYSIA",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",17,"MYANMAR",11,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",7,"SINGAPORE",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",4,"INDONESIA",22,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",88,"SINGAPORE",22,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",6,"MALAYSIA",10,0,"",57
"EPX","Travel Agency","Online","Cancellation Plan","No",56,"ITALY",40,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",112,"FRANCE",49,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",55,"UNITED STATES",80,0,"",49
"EPX","Travel Agency","Online","Cancellation Plan","No",133,"KOREA, REPUBLIC OF",23,0,"",32
"EPX","Travel Agency","Online","Cancellation Plan","No",13,"VIET NAM",11,0,"",40
"EPX","Travel Agency","Online","Cancellation Plan","No",30,"INDONESIA",10,0,"",28
"EPX","Travel Agency","Online","Cancellation Plan","No",34,"SINGAPORE",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",11,"SINGAPORE",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",41,"KOREA, REPUBLIC OF",36,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",143,"KOREA, REPUBLIC OF",35,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",17,"INDONESIA",10,0,"",50
"EPX","Travel Agency","Online","Cancellation Plan","No",39,"TAIWAN, PROVINCE OF CHINA",15,0,"",31
"EPX","Travel Agency","Online","Cancellation Plan","No",3,"THAILAND",15,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",17,"INDIA",42,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",17,"AUSTRALIA",37,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",7,"MYANMAR",14,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",14,"INDONESIA",13,0,"",41
"EPX","Travel Agency","Online","Cancellation Plan","No",54,"HONG KONG",12,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",118,"UNITED KINGDOM",56,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",17,"MALAYSIA",25,0,"",56
"EPX","Travel Agency","Online","Cancellation Plan","No",3,"SINGAPORE",27,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",40,"PHILIPPINES",12,0,"",33
"EPX","Travel Agency","Online","Cancellation Plan","No",5,"SINGAPORE",10,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",13,"INDONESIA",20,0,"",22
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",15,"NEW ZEALAND",57,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",1,"INDIA",24,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",9,"AUSTRALIA",24,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",3,"CHINA",0,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",97,"INDIA",20,0,"",36
"EPX","Travel Agency","Online","1 way Comprehensive Plan","No",7,"SINGAPORE",20,0,"",36
"JWT","Airlines","Online","Value Plan","No",25,"INDIA",50,20,"M",118
"JZI","Airlines","Online","Basic Plan","No",41,"INDONESIA",33,11.55,"F",52
"JZI","Airlines","Online","Basic Plan","No",11,"VIET NAM",30,10.5,"M",20
"JZI","Airlines","Online","Basic Plan","No",6,"THAILAND",18,6.3,"F",45
"JZI","Airlines","Online","Basic Plan","No",4,"MALAYSIA",18,6.3,"M",52
"JZI","Airlines","Online","Basic Plan","No",29,"MALAYSIA",52,18.2,"M",51
"JZI","Airlines","Online","Basic Plan","No",7,"LAO PEOPLE'S DEMOCRATIC REPUBLIC",22,7.7,"M",57
"JZI","Airlines","Online","Basic Plan","No",60,"CHINA",44,15.4,"M",28
"CSR","Travel Agency","Offline","Comprehensive Plan","No",50,"MALAYSIA",29,9.57,"M",29
"CSR","Travel Agency","Offline","Comprehensive Plan","No",41,"THAILAND",29,9.57,"M",23
"ART","Airlines","Online","24 Protect","No",4,"MACAO",30.47,10.66,"M",48
"ART","Airlines","Online","24 Protect","No",12,"PHILIPPINES",10.74,3.76,"M",48
"C2B","Airlines","Online","Bronze Plan","No",45,"SINGAPORE",79.95,19.99,"F",23
"C2B","Airlines","Online","Bronze Plan","No",52,"SINGAPORE",41.3,10.32,"M",21
"C2B","Airlines","Online","Bronze Plan","No",11,"SINGAPORE",44.25,11.06,"F",28
"C2B","Airlines","Online","Bronze Plan","No",4,"SINGAPORE",17.55,4.39,"F",31
"C2B","Airlines","Online","Silver Plan","No",23,"SINGAPORE",93,23.25,"F",35
"C2B","Airlines","Online","Annual Silver Plan","Yes",365,"SINGAPORE",291.75,72.94,"M",31
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",17,"AUSTRALIA",69.3,41.58,"",45
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",58,"MALAYSIA",39.6,23.76,"",49
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",11,"AUSTRALIA",59.4,35.64,"",31
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",31,"THAILAND",29.7,17.82,"",44
"CWT","Travel Agency","Online","Rental Vehicle Excess Insurance","No",9,"MALAYSIA",39.6,23.76,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",49,"CHINA",33,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",7,"CHINA",40,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",6,"INDONESIA",20,0,"",53
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",48,"PORTUGAL",59,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",19,"THAILAND",20,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",83,"CHINA",52,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",67,"MALAYSIA",20,0,"",40
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",100,"PHILIPPINES",28,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",20,"THAILAND",20,0,"",26
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",18,"THAILAND",20,0,"",31
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",22,"CHINA",26,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",54,"CHINA",24,0,"",36
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",3,"MALAYSIA",25,0,"",33
"EPX","Travel Agency","Online","2 way Comprehensive Plan","No",9,"MALAYSIA",20,0,"",43
"EPX","Travel Agency","Online","Cancellation Plan","No",14,"THAILAND",18,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",22,"TAIWAN, PROVINCE OF CHINA",19,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",22,"TAIWAN, PROVINCE OF CHINA",38,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",15,"THAILAND",10,0,"",30
"EPX","Travel Agency","Online","Cancellation Plan","No",72,"INDONESIA",18,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",2,"MYANMAR",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",53,"GERMANY",71,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",46,"VIET NAM",10,0,"",36
"EPX","Travel Agency","Online","Cancellation Plan","No",37,"INDONESIA",11,0,"",67
"EPX","Travel Agency","Online","Cancellation Plan","No",113,"PHILIPPINES",10,0,"",20
"EPX","Travel Agency","Online","Cancellation Plan","No",4,"INDONESIA",25,0,"",34
"EPX","Travel Agency","Online","Cancellation Plan","No",3,"PHILIPPINES",10,0,"",31
"EPX","Travel Agency","Online","Cancellation Plan","No",106,"UNITED STATES",19,0,"",22
"EPX","Travel Agency","Online","Cancellation Plan","No",6,"SINGAPORE",10,0,"",35
"EPX","Travel Agency","Online","Cancellation Plan","No",52,"SINGAPORE",10,0,"",42
